SimulationID,MTTA
616,41.109339
617,53.927215
618,49.925565
619,49.680490
620,61.769588
621,46.043999
622,55.619426
623,51.764276
624,61.496059
625,40.188228
626,67.487333
627,59.710510
628,32.386804
629,51.493105
630,38.087798
631,51.360793
632,60.726116
633,58.789703
634,55.408075
635,52.867709
636,54.887614
637,71.106480
638,38.135012
639,69.581258
640,25.703816
641,46.619458
642,44.099188
643,43.804972
644,34.933607
645,55.583106
646,40.264182
647,59.230125
648,30.384262
649,63.320653
650,35.406345
651,36.609271
652,59.851440
653,60.057455
654,45.335465
655,53.448358
656,48.742040
657,43.199145
658,45.446254
659,35.461593
660,47.451515
661,66.250435
662,32.860077
663,44.188285
664,68.231565
665,54.137526
666,39.082079
667,47.398905
668,69.934912
669,51.167769
670,50.065173
671,63.448395
672,24.823463
673,71.183840
674,39.068954
675,63.649592
676,36.233707
677,42.546586
678,49.278938
679,59.216045
680,65.069001
681,56.329116
682,44.749863
683,64.207351
684,64.211553
685,60.868779
686,49.779603
687,54.373701
688,51.710420
689,40.472085
690,51.899639
691,30.725483
692,50.330505
693,44.112434
694,54.817455
695,47.209439
696,45.976140
697,72.267173
698,25.750270
699,68.690710
700,33.724972
701,36.947702
702,48.154525
703,47.669330
704,22.198560
705,55.019132
706,36.603186
707,54.308117
708,60.919389
709,43.255163
710,61.783174
711,52.436746
712,55.639380
713,54.133245
714,51.216050
715,49.434807
716,32.199208
717,40.751839
718,60.880942
719,37.076753
720,52.779832
721,55.226587
722,43.834164
723,40.356727
724,48.527473
725,50.159581
726,38.624692
727,47.218035
728,54.495455
729,46.177053
730,45.251996
731,53.593559
732,58.122629
733,50.902159
734,31.647354
735,49.136623
736,52.047515
737,60.390957
738,58.976021
739,40.330899
740,51.872523
741,40.941615
742,52.732284
743,43.474147
744,36.275204
745,49.718822
746,69.170291
747,48.996084
748,67.074587
749,57.169327
750,38.536164
751,50.454124
752,51.199505
753,49.284604
754,39.292474
755,62.269394
756,61.918438
757,52.088393
758,45.402516
759,34.262536
760,66.523489
761,46.725483
762,47.334261
763,58.160748
764,65.898729
765,41.140296
766,45.155846
767,53.235032
768,54.701892
769,46.953400
770,49.939230
771,34.481251
772,54.134667
773,49.579041
774,35.260295
775,44.055248
776,49.982308
777,49.105421
778,27.799421
779,52.031573
780,38.860669
781,44.235083
782,42.019333
783,46.897176
784,52.074321
785,47.821736
786,55.130755
787,63.794369
788,55.122473
789,40.797105
790,54.503499
791,53.765765
792,52.406225
793,46.537187
794,31.802970
795,20.406774
796,57.591739
797,43.682659
798,52.529918
799,39.848605
800,43.165207
801,54.237223
802,47.590552
803,49.144999
804,48.279227
805,41.312422
806,47.671094
807,40.336688
808,58.118883
809,36.518297
810,41.604793
811,47.183062
812,35.822388
813,34.800179
814,43.088462
815,33.786634
816,42.905362
817,48.702692
818,54.963075
819,57.843162
820,46.839266
821,51.737677
822,54.981046
823,57.404798
824,28.942300
825,57.827636
826,62.513932
827,55.508228
828,31.697117
829,44.457815
830,60.870013
831,33.114971
832,47.446827
833,57.145537
834,59.682533
835,40.183087
836,49.081241
837,41.576417
838,54.713411
839,49.272749
840,52.726014
841,58.294793
842,39.210801
843,36.323955
844,29.774020
845,63.596836
846,51.755564
847,33.613533
848,41.253685
849,39.986821
850,51.438573
851,57.489445
852,32.126771
853,30.948611
854,70.654179
855,58.692246
856,35.830477
857,62.324433
858,61.999240
859,40.716573
860,54.934647
861,30.131654
862,52.853171
863,43.578949
864,32.045026
865,52.304661
866,72.992990
867,67.783290
868,50.315155
869,28.817794
870,42.276423
871,65.308814
872,46.609203
873,46.128629
874,36.048320
875,63.292473
876,50.486218
877,52.664248
878,45.499756
879,50.141763
880,55.546790
881,38.233626
882,39.271486
883,61.361985
884,54.022523
885,53.931244
886,53.286427
887,46.603172
888,39.651605
889,48.106672
890,60.251254
891,51.451531
892,52.948430
893,30.809263
894,43.776856
895,49.790516
896,32.920799
897,47.422857
898,43.667165
899,64.325200
900,70.598427
901,32.029256
902,52.275862
903,53.779859
904,58.867858
905,41.531271
906,46.966307
907,49.996993
908,48.340882
909,41.499755
910,70.250971
911,54.411889
912,64.463667
913,68.458289
914,55.282057
915,42.112676
916,57.864223
917,51.762716
918,49.325571
919,52.892095
920,50.664329
921,34.327601
922,41.759401
923,51.185757
924,46.466591
925,55.136702
926,55.871505
927,60.265948
928,41.409615
929,52.330806
930,46.449455
931,38.445292
932,62.336379
933,43.062116
934,70.142923
935,53.267093
936,42.131718
937,49.556841
938,64.354681
939,63.193054
940,53.886191
941,62.863688
942,41.136269
943,22.409651
944,46.826836
945,42.035462
946,58.327603
947,50.632208
948,29.348536
949,46.702405
950,42.847724
951,42.144591
952,54.789716
953,57.591843
954,47.513313
955,34.062724
956,40.386950
957,41.923960
958,58.666697
959,72.665534
960,47.584039
961,63.874901
962,33.310866
963,68.915103
964,40.418997
965,27.420641
966,44.959709
967,52.760685
968,48.751332
969,33.785637
970,44.880228
