Institution,Cell ID,Form Factor,Cathode,Temperature (°C),Min SOC (%),Max SOC (%),Charge Rate (C),Discharge Rate (C),Group,Capacity (Ah),Charge Current (A),Discharge Current (A),Mean NCD1%,Std NCD1%,Full Filename
Michigan Expansion,BLForm2,Pouch,NMC,45,0,100,1,1,b,2.36,2.36,2.36,4.687384751773049,9.4803784667194,2.36_MICH_BLForm2_pouch_NMC_45C_0-100_1-1C_b_timeseries_data.csv
Michigan Expansion,BLForm3,Pouch,NMC,45,0,100,1,1,c,2.36,2.36,2.36,5.434363725434859,12.825791747536867,2.36_MICH_BLForm3_pouch_NMC_45C_0-100_1-1C_c_timeseries_data.csv
Michigan Expansion,BLForm4,Pouch,NMC,45,0,100,1,1,d,2.36,2.36,2.36,5.213512369200993,46.939452863994724,2.36_MICH_BLForm4_pouch_NMC_45C_0-100_1-1C_d_timeseries_data.csv
Michigan Expansion,BLForm5,Pouch,NMC,45,0,100,1,1,e,2.36,2.36,2.36,0.8989740057921876,5.718560240316015,2.36_MICH_BLForm5_pouch_NMC_45C_0-100_1-1C_e_timeseries_data.csv
Michigan Expansion,BLForm6,Pouch,NMC,45,0,100,1,1,f,2.36,2.36,2.36,5.045595192430656,10.141188018216836,2.36_MICH_BLForm6_pouch_NMC_45C_0-100_1-1C_f_timeseries_data.csv
Michigan Expansion,BLForm7,Pouch,NMC,45,0,100,1,1,g,2.36,2.36,2.36,4.533479515445752,8.609978742345715,2.36_MICH_BLForm7_pouch_NMC_45C_0-100_1-1C_g_timeseries_data.csv
Michigan Expansion,BLForm8,Pouch,NMC,45,0,100,1,1,h,2.36,2.36,2.36,4.575541256484995,11.499181005897267,2.36_MICH_BLForm8_pouch_NMC_45C_0-100_1-1C_h_timeseries_data.csv
Michigan Expansion,BLForm9,Pouch,NMC,45,0,100,1,1,i,2.36,2.36,2.36,6.526789763524457,24.318524562570627,2.36_MICH_BLForm9_pouch_NMC_45C_0-100_1-1C_i_timeseries_data.csv
Michigan Expansion,MCForm21,Pouch,NMC,25,0,100,1,1,a,2.36,2.36,2.36,5.078641595126519,14.575030990026494,2.36_MICH_MCForm21_pouch_NMC_25C_0-100_1-1C_a_timeseries_data.csv
Michigan Expansion,MCForm22,Pouch,NMC,25,0,100,1,1,b,2.36,2.36,2.36,5.240485606695107,29.79374570130271,2.36_MICH_MCForm22_pouch_NMC_25C_0-100_1-1C_b_timeseries_data.csv
Michigan Expansion,MCForm23,Pouch,NMC,25,0,100,1,1,c,2.36,2.36,2.36,5.967225609756098,37.0487181426825,2.36_MICH_MCForm23_pouch_NMC_25C_0-100_1-1C_c_timeseries_data.csv
Michigan Expansion,MCForm24,Pouch,NMC,25,0,100,1,1,d,2.36,2.36,2.36,5.079519501237197,28.703795782152522,2.36_MICH_MCForm24_pouch_NMC_25C_0-100_1-1C_d_timeseries_data.csv
Michigan Expansion,MCForm25,Pouch,NMC,25,0,100,1,1,e,2.36,2.36,2.36,6.322034104442042,18.58827204406149,2.36_MICH_MCForm25_pouch_NMC_25C_0-100_1-1C_e_timeseries_data.csv
Michigan Expansion,MCForm26,Pouch,NMC,25,0,100,1,1,f,2.36,2.36,2.36,6.498785787321064,20.19941209361911,2.36_MICH_MCForm26_pouch_NMC_25C_0-100_1-1C_f_timeseries_data.csv
Michigan Expansion,MCForm27,Pouch,NMC,25,0,100,1,1,g,2.36,2.36,2.36,5.786626794765189,19.136423781613033,2.36_MICH_MCForm27_pouch_NMC_25C_0-100_1-1C_g_timeseries_data.csv
Michigan Expansion,MCForm28,Pouch,NMC,25,0,100,1,1,h,2.36,2.36,2.36,6.52013888888889,16.34846446996807,2.36_MICH_MCForm28_pouch_NMC_25C_0-100_1-1C_h_timeseries_data.csv
Michigan Expansion,MCForm29,Pouch,NMC,25,0,100,1,1,i,2.36,2.36,2.36,5.928308045123871,19.04027110409133,2.36_MICH_MCForm29_pouch_NMC_25C_0-100_1-1C_i_timeseries_data.csv
Michigan Expansion,MCForm30,Pouch,NMC,25,0,100,1,1,j,2.36,2.36,2.36,6.030877192982455,16.76518921278641,2.36_MICH_MCForm30_pouch_NMC_25C_0-100_1-1C_j_timeseries_data.csv
Michigan Expansion,MCForm31,Pouch,NMC,45,0,100,1,1,a,2.36,2.36,2.36,1.536479287468509,8.1005457603449,2.36_MICH_MCForm31_pouch_NMC_45C_0-100_1-1C_a_timeseries_data.csv
Michigan Expansion,MCForm32,Pouch,NMC,45,0,100,1,1,b,2.36,2.36,2.36,5.2231240981240985,11.893922091263596,2.36_MICH_MCForm32_pouch_NMC_45C_0-100_1-1C_b_timeseries_data.csv
Michigan Expansion,MCForm33,Pouch,NMC,45,0,100,1,1,c,2.36,2.36,2.36,5.323438470652278,13.387418855463249,2.36_MICH_MCForm33_pouch_NMC_45C_0-100_1-1C_c_timeseries_data.csv
Michigan Expansion,MCForm34,Pouch,NMC,45,0,100,1,1,d,2.36,2.36,2.36,1.5359336743064702,10.827944286479385,2.36_MICH_MCForm34_pouch_NMC_45C_0-100_1-1C_d_timeseries_data.csv
Michigan Expansion,MCForm35,Pouch,NMC,45,0,100,1,1,e,2.36,2.36,2.36,4.717752718864438,10.86925580520739,2.36_MICH_MCForm35_pouch_NMC_45C_0-100_1-1C_e_timeseries_data.csv
Michigan Expansion,MCForm36,Pouch,NMC,45,0,100,1,1,f,2.36,2.36,2.36,5.748684449283253,42.56221859502421,2.36_MICH_MCForm36_pouch_NMC_45C_0-100_1-1C_f_timeseries_data.csv
Michigan Expansion,MCForm37,Pouch,NMC,45,0,100,1,1,g,2.36,2.36,2.36,5.748575498575499,52.18509479788224,2.36_MICH_MCForm37_pouch_NMC_45C_0-100_1-1C_g_timeseries_data.csv
Michigan Expansion,MCForm38,Pouch,NMC,45,0,100,1,1,h,2.36,2.36,2.36,4.838383838383839,47.8138906239113,2.36_MICH_MCForm38_pouch_NMC_45C_0-100_1-1C_h_timeseries_data.csv
Michigan Expansion,MCForm39,Pouch,NMC,45,0,100,1,1,i,2.36,2.36,2.36,5.748079598378999,42.773171463171664,2.36_MICH_MCForm39_pouch_NMC_45C_0-100_1-1C_i_timeseries_data.csv
Michigan Expansion,MCForm40,Pouch,NMC,45,0,100,1,1,j,2.36,2.36,2.36,1.5363053268238944,9.747976627035698,2.36_MICH_MCForm40_pouch_NMC_45C_0-100_1-1C_j_timeseries_data.csv
Oxford,1-1,Pouch,LCO,40,0,100,2,1.84,a,0.74,1.48,1.36,333.6666666666668,136.1324872103425,0.74_OX_1-1_pouch_LCO_40C_0-100_2-1.84C_a_timeseries.csv
Oxford,1-2,Pouch,LCO,40,0,100,2,1.84,b,0.74,1.48,1.36,247.3967741935484,281.91436512726597,0.74_OX_1-2_pouch_LCO_40C_0-100_2-1.84C_b_timeseries.csv
Oxford,1-3,Pouch,LCO,40,0,100,2,1.84,c,0.74,1.48,1.36,348.6636363636367,122.54086284367298,0.74_OX_1-3_pouch_LCO_40C_0-100_2-1.84C_c_timeseries.csv
Oxford,1-4,Pouch,LCO,40,0,100,2,1.84,d,0.74,1.48,1.36,237.08375000000032,76.42290667821196,0.74_OX_1-4_pouch_LCO_40C_0-100_2-1.84C_d_timeseries.csv
Oxford,1-5,Pouch,LCO,40,0,100,2,1.84,e,0.74,1.48,1.36,133.69842191184475,140.40102075684354,0.74_OX_1-5_pouch_LCO_40C_0-100_2-1.84C_e_timeseries.csv
Oxford,1-6,Pouch,LCO,40,0,100,2,1.84,f,0.74,1.48,1.36,250.6434210526318,81.59904605507059,0.74_OX_1-6_pouch_LCO_40C_0-100_2-1.84C_f_timeseries.csv
Oxford,1-7,Pouch,LCO,40,0,100,2,1.84,g,0.74,1.48,1.36,412.3342105263161,124.815421673504,0.74_OX_1-7_pouch_LCO_40C_0-100_2-1.84C_g_timeseries.csv
Oxford,1-8,Pouch,LCO,40,0,100,2,1.84,h,0.74,1.48,1.36,351.52467532467614,91.29005208025434,0.74_OX_1-8_pouch_LCO_40C_0-100_2-1.84C_h_timeseries.csv
