SimulationID,MTTA
181,703.307910
182,523.005909
183,666.101030
184,473.603003
185,413.943128
186,556.511778
187,638.457106
188,489.548467
189,622.477101
190,629.464817
191,594.633790
192,468.516967
193,695.442824
194,488.697244
195,611.391105
196,685.141458
197,657.136978
198,626.735737
199,515.124443
200,405.800685
201,753.237962
202,732.539781
203,580.309636
204,840.477813
205,728.452263
206,720.947299
207,556.208325
208,566.558217
209,376.558560
210,423.883499
211,913.577916
212,460.512309
213,254.352433
214,471.098107
215,415.819460
216,369.307819
217,817.687798
218,280.888862
219,281.540406
220,369.964566
221,779.872567
222,521.935593
223,444.659772
224,401.770781
225,630.724344
226,310.805976
227,435.884494
228,474.298363
229,406.866335
230,622.281726
231,490.122751
232,526.393914
233,1015.046713
234,468.825045
235,348.380478
236,564.514627
237,493.892784
238,574.566025
239,287.550463
240,832.269152
241,280.411112
242,263.208861
243,755.725804
244,710.915402
245,497.306405
246,593.209980
247,419.864969
248,345.264040
249,472.128202
250,431.292299
251,542.833118
252,362.157361
253,729.673389
254,620.831246
255,518.462889
256,320.222171
257,564.403321
258,470.652072
259,596.202788
260,310.025926
261,263.618878
262,461.787719
263,422.758654
264,933.038090
265,641.017360
266,434.554794
267,650.797026
268,595.114914
269,711.233235
270,655.434778
271,380.058671
272,282.896621
273,499.237420
274,402.390900
275,805.208763
276,540.340048
277,592.934828
278,410.267431
279,552.694645
280,729.368712
281,786.706056
282,585.083785
283,549.647218
284,410.506598
285,402.251481
286,616.859923
287,345.090439
288,562.141755
289,272.602388
290,506.533503
291,458.495909
292,377.082502
293,478.177046
294,374.756443
295,756.746905
296,422.336266
297,674.296860
298,452.992663
299,640.388075
300,240.182935
301,317.369855
302,580.020411
303,628.913663
304,454.239975
305,524.811347
306,769.820342
307,445.077894
308,175.196970
309,204.785885
310,722.414869
311,437.313204
312,293.410447
313,651.343533
314,727.987773
315,507.335249
316,280.650639
317,718.397173
318,502.000876
319,503.667258
320,621.765263
321,244.656334
322,558.980040
323,376.092170
324,739.059048
325,669.278112
326,439.528105
327,546.347684
328,388.411884
329,466.881351
330,628.939810
331,537.006140
332,606.957001
333,507.355103
334,437.525514
335,765.234424
336,426.632505
337,378.800946
338,369.795702
339,667.015431
340,667.260401
341,539.189977
342,278.071535
343,458.691724
344,388.021173
345,466.495383
346,252.411781
347,449.449436
348,359.630219
349,555.139423
350,261.746716
351,541.434418
352,519.543057
353,444.363674
354,449.460444
355,322.661161
356,627.884687
357,628.939095
358,906.373253
359,500.068576
360,615.108650
361,444.471394
362,254.913238
363,401.482081
364,464.573959
365,466.483995
366,443.532080
367,442.109250
368,225.778600
369,354.172782
370,555.476429
371,454.879457
372,332.748483
373,621.479489
374,647.930728
375,321.426251
376,886.000465
377,435.205077
378,496.773860
379,316.238951
380,784.214073
381,802.297114
382,386.624980
